,Day,kurt_day_mean_min_magn,abs_mean_lastday_mean_magn,abs_mean_lastday_min_magn,energy_sstd_lastday_mean_magn,energy_sstd_lastday_max_min_magn,frequency_center_min_magn,frequency_center_lastday_min_magn,mean_square_frequency_min_magn,mean_square_frequency_lastday_mean_magn,mean_square_frequency_lastday_min_magn,mean_square_frequency_lastday_max_min_magn,frequency_entropy_max_min_magn,frequency_entropy_lastday_mean_magn,frequency_entropy_lastday_max_min_magn,level4d_energy_lastday_mean_magn,level5d_energy_lastday_max_min_magn,ulf_power_lastday_max_min_magn,ulf_kurt_lastday_min_magn,ulf_kurt_lastday_max_min_magn,ulf_energy_smax_lastday_mean_magn,ulf_energy_smax_lastday_max_min_magn,diff_1_lastday_max_min_magn,skew_lastday_max_sound,skew_lastday_min_sound,kurt_max_min_sound,kurt_lastday_max_min_sound,abs_max_max_min_sound,abs_mean_lastday_min_sound,s_zero_rate_max_lastday_mean_sound,power_10_15_day_mean_min_sound,power_35_40_lastday_mean_sound,mean_square_frequency_lastday_mean_sound,mean_square_frequency_lastday_min_sound,mean_square_frequency_lastday_max_min_sound,frequency_entropy_lastday_mean_sound,frequency_entropy_lastday_max_min_sound,level6a_energy_day_mean_min_sound,mean_lastday_max_min_sound,label_M,label_long,label_lati,PC1,PC2,PC3,PC4,PC5
0,406,-1.49602603386809,-0.865915513651006,-2.43006641382462,0.146217179962384,0.767733593333333,55.683375,56.199625,50.0090333333333,50.6078047453704,50.0278333333333,4.15723333333332,2.78055833333333,6.59124060763889,2.11370333333333,95.0190278703704,2242.06858666667,0.0003277968649999,-0.0439843666666666,677.568624366667,9.747331960502e-05,0.0026855210206665,2.23875416666667,0.03192205,-0.0375392,2.01678053333333,0.124719866666667,0.0215933113333334,-0.0080437036906971,6.71759259259259,2.0164113587344e-07,1.48541189496528e-07,47.7664095486111,44.7427,5.9076,9.23675414930556,0.0184916666666659,0.0080483960721924,0.0896233333333329,0.0,-1.0,-1.0,-5.14478100125411,-1.71399156402024,1.76519196662616,0.666359047162351,-0.911281403696955
1,413,-1.47195091521991,-0.788454640965821,-2.39809308049128,0.137122973671875,0.716100103333333,54.38845,56.7642,50.0134666666667,50.7142409722222,50.0565666666667,2.35303333333334,2.470505,6.50400043402778,2.470505,94.1008784722222,1600.54605,0.001966257685,-0.157264266666667,982.340839766667,0.000188967821765,0.0232056143375,2.78398,0.0278619333333333,-0.0316894666666666,175.467513683333,0.2206256025,0.0409072559276999,-0.0080438923573637,6.67447916666667,4.24453119376128e-07,1.47919633484375e-07,47.8575777777778,44.9921666666667,7.34238333333334,9.23776812789352,0.0256550000000004,0.0166438697159619,0.0766900000000001,0.0,-1.0,-1.0,-5.02537388531771,-1.77198652526015,1.78069716673824,0.603593636886031,-1.0596480942851
2,420,-1.54188897974537,-0.440737286509802,-2.71652508049128,0.184250535666088,0.991979356333334,54.0752,54.8412333333333,50.0091666666667,51.944776880787,50.0220333333333,30.3440666666667,4.43445166666667,6.61460305266204,3.3929525,136.215966239005,2339.93939933333,0.0007081667999999,-0.00331445,985.14020945,0.000188534500787,0.0247024870399999,2.18062,0.0292532499999999,-0.0391337666666666,4.14548223333333,0.135525903333333,0.0351644333333333,-0.0080449686906971,0.0,3.3927738136574104e-09,1.21783059837963e-09,45.8550266203704,44.54055,2.25041666666667,9.23952009259259,0.0158116666666643,0.0001695431822916,2.66666666668414e-05,0.0,-1.0,-1.0,-4.13124988789761,-1.95370099247525,2.22833326320944,-0.0852231883718172,-1.29038335089735
3,427,-1.52046365162037,-0.512675750919525,-2.67284908049128,0.189371251387442,0.939443255,53.6346,54.0081666666667,49.78875,51.9271079571759,50.0223,17.68435,3.09405,6.52310282407407,2.30994833333333,128.48410335735,2224.11023,0.00033793597,-0.766608333333333,866.021338333333,0.000125220187008,0.005143842675,2.78694833333333,0.0304298666666666,-0.032856225,3.9467057,3.25443143333333,0.0327241,-0.0080457351073637,6.37413194444444,3.3945439525463e-09,1.43936415849248e-07,47.908432494213,44.7123333333333,7.75103333333334,9.23762156539352,0.0193333333333356,0.0001688734149305,0.0999874999999996,0.0,-1.0,-1.0,-4.35611132241447,-1.68750459634321,2.11854824238668,0.527833888440195,-1.16585282693781
4,434,-1.46193761886574,0.598829761636019,-2.60021141382462,0.301533009786851,0.90020526,53.9666666666667,53.9666666666667,50.0067333333333,50.498489279732,50.0067333333333,3.93961666666667,3.73924,6.44104912897823,1.75967166666667,224.043014356365,2391.47517666667,0.0013965091066666,-0.660267333333333,438.017888833333,0.000142101329577,0.00130690736,2.12304916666667,0.0365356,-0.0277827666666666,73.9751928,0.144621993333333,0.0627322666666666,-0.0080465758573637,3.47278056951424,1.85183087416667e-07,7.99179284279732e-08,46.9465463149079,44.6326,6.34350000000001,9.23833995812395,0.0145149999999976,0.0073630922929166,0.0275674999999999,0.0,-1.0,-1.0,-4.29554685451313,-1.62081236735633,2.31976579241125,0.742079797037479,-0.838193424049702
5,441,-1.50495663773148,0.969553564184642,-0.737969080491284,0.365872680555555,0.75278755,55.1981333333333,55.6141666666667,50.0131333333333,50.2159372106481,50.0131333333333,1.01390000000001,2.0875375,6.39639126736111,1.569985,214.283279398148,1676.999,7.66415e-05,0.458786333333333,161.737821333333,0.0001808062994212,0.0011256109999999,2.04752,0.0256729,-0.0373174,0.618459833333333,0.615898666666667,0.0005915893333334,-0.0080465163573637,0.0,3.33306041087963e-09,1.13305359490741e-09,45.8627184027778,44.4248,2.2572,9.23992505208333,0.0185491666666681,0.000165622517361,0.0001266666666666,0.0,-1.0,-1.0,-5.36347467994856,-1.28617444637511,1.49865826294207,0.67212082553988,0.267540471962702
6,448,-1.48874126736111,1.46173930492538,-0.871622413824618,0.369339161863426,0.938622533333334,53.7397666666667,54.4986,50.0143666666667,50.1539549189815,50.0143666666667,1.12856666666667,2.30004,6.34941831597222,2.20459666666667,288.808993229167,2477.64866666667,0.0010469706666666,0.2613885,1072.4960365,0.0002414365845485,0.0031881062166666,1.7126025,0.0275720666666666,-0.03513546075,6.28331983,0.093341075,0.0015248713333333,-0.0080464640240304,0.0,3.3204539409722203e-09,1.39213304976852e-09,45.691530787037,43.3214666666667,3.33879999999999,9.23773151041667,0.0310133333333322,0.0001656301724536,2.99999999997524e-05,0.0,-1.0,-1.0,-4.77490850871041,-1.34845016358496,1.79920353210314,0.220065795310439,-0.0454284110089202
7,455,-1.47656881365741,-0.503120360757488,-2.69316691382462,0.164424786195023,0.837879883333333,54.2106666666667,54.2106666666667,50.00785,51.4126392939815,50.009425,25.6242416666667,3.76347,6.61068182002315,3.76347,131.675315646991,2252.90499916667,0.0004434382233333,-0.8193975,645.9722185,0.0001401688810914,0.0169511395643333,2.05062583333333,0.0436193999999999,-0.0360970833333333,21.16788755,0.967859,0.0441044621386666,-0.0080470696073637,6.59924768518519,3.33789793981481e-09,1.43693477361401e-07,47.9908623842593,44.6285666666667,8.10446666666668,9.23697445601852,0.0530899999999991,0.000166028662037,0.0850733333333333,0.0,-1.0,-1.0,-3.87374729268854,-1.69972480995722,2.09419030458056,0.162071501894921,-1.33958930563826
8,462,-1.49428614224138,-0.183701263651007,-2.68484041382462,0.185280593996238,0.89479823,53.5465,54.7552666666667,49.9943,50.70719921875,50.0111333333333,12.0531666666667,3.22533333333333,6.57232402777778,2.14294833333333,157.154951342593,2478.31133333333,0.0007070087083333,0.218732333333333,269.827695333333,7.59038623553094e-05,0.0006252793641665,1.5699675,0.0539766999999999,-0.0358113,12.48561892,0.562231366666667,0.0517804080000001,-0.0050038276906971,12.3888888888889,3.34449988425926e-09,2.83082786458333e-07,46.7635379050926,42.3688666666667,10.5555,9.22818399594907,0.0431433333333348,0.0001656814172453,0.124743333333333,0.0,-1.0,-1.0,-4.85414828988234,-1.75818174306878,1.85614692069301,0.606934692462662,-0.681085361706336
9,469,-1.48222181568287,-0.340608926961192,-2.74647926382462,0.178515010803067,0.880694418,54.28935,54.6163,50.0082,51.1701222222222,50.0190666666667,37.6418,3.2466575,6.54167629340278,2.75709333333333,140.380454571586,2306.85574591667,0.0009976574025,-1.26219,754.54974,0.0002199943610471,0.0343515007664166,2.14755916666667,0.04167155,-0.0427067333333333,4.2367610425,0.340714866666667,0.01803105,-0.0050012443573637,12.3237847222222,8.25456039641203e-07,3.3055530931713e-07,46.7602416087963,42.5825666666667,9.11148333333332,9.22674384548611,0.0351675,0.0368421256076388,0.1122275,0.0,-1.0,-1.0,-3.88195777543182,-1.54479214522887,2.17421135673415,0.513108836263802,-1.18048542478889
